brand,name,id,sale,priceU,salePriceU
NEWSKY,Летняя нарядная блузка для офиса,13541425,92,1208.0,93.0
NEWSKY,Летняя нарядная блузка для офиса,54195410,91,1681.0,146.0
NEWSKY,Летняя нарядная блузка для офиса,25808181,91,1681.0,146.0
NEWSKY,Летняя нарядная блузка для офиса,54195409,91,1681.0,146.0
NEWSKY,Летняя нарядная блузка для офиса,13544948,87,1208.0,152.0
Buona Sceltta,Летняя нарядная блузка для офиса,25632044,87,1208.0,152.0
NEWSKY,Летняя нарядная блузка для офиса,13546298,87,1208.0,152.0
JRF,Летняя нарядная блузка для офиса,78067066,87,1208.0,152.0
NEWSKY,Летняя нарядная блузка для офиса,13544950,87,1208.0,152.0
INCITY,Блузка,1492218,72,599.0,162.0
JRF,Летняя нарядная блузка для офиса,12568188,86,1208.0,164.0
NEWSKY,Летняя нарядная блузка для офиса,13541424,86,1208.0,164.0
NEWSKY,Летняя нарядная блузка для офиса,55010179,87,1318.0,166.0
NEWSKY,Летняя нарядная блузка для офиса,54411892,87,1318.0,166.0
NEWSKY,Блузка женская летняя,12937786,85,1208.0,175.0
LOONA,блузка футболка трикотажная с открытой спиной,163959155,91,2100.0,183.0
INCITY,Блузка женская,1938853,88,1599.0,186.0
QIANZHIDU,Рубашка летняя с коротким рукавом,170254473,86,1399.0,189.0
QIANZHIDU,Рубашка летняя с коротким рукавом,170254816,86,1399.0,189.0
QIANZHIDU,Рубашка летняя с коротким рукавом,169918375,86,1399.0,189.0
QIANZHIDU,Рубашка летняя с коротким рукавом,170254817,86,1399.0,189.0
QIANZHIDU,Рубашка летняя с коротким рукавом,170250834,86,1399.0,189.0
QIANZHIDU,Рубашка летняя с коротким рукавом,169935234,86,1399.0,189.0
QIANZHIDU,Рубашка летняя с коротким рукавом,170254474,86,1399.0,189.0
QIANZHIDU,Рубашка летняя с коротким рукавом,169918379,86,1399.0,189.0
FUNDAY,Блузка,116426549,71,699.0,196.0
KOTON,Блузка,7375911,41,349.0,203.0
INCITY,Блузка,1361136,80,1059.0,205.0
KOTON,Блузка,9983141,71,749.0,210.0
NEWSKY,Летняя нарядная блузка для офиса,25808179,87,1681.0,211.0
NEWSKY,Летняя нарядная блузка для офиса,25808182,87,1681.0,211.0
NEWSKY,Летняя нарядная блузка для офиса,25808177,87,1681.0,211.0
Ассуан,Блузка женская,169683379,57,500.0,213.0
LOONA,Трикотажная блузка с коротким рукавом,172801328,90,2200.0,213.0
top.mod,Рубашка с длинным рукавом,164111945,78,1000.0,213.0
Modis,блузка,7530394,83,1299.0,214.0
MANIKINI the best,Блузка,5464814,85,1500.0,218.0
MANIKINI the best,Блузка,5464822,85,1500.0,218.0
MANIKINI the best,Блузка,5464825,85,1500.0,218.0
JRF,Летняя нарядная блузка для офиса,12568208,80,1131.0,219.0
koket,Блузка повседневная офисная,158386715,77,1000.0,223.0
koket,Блузка повседневная офисная,158423565,77,1000.0,223.0
Ассуан,Блузка женская,169734908,54,500.0,227.0
Ассуан,Блузка женская,169734907,54,500.0,227.0
Ассуан,Блузка женская,169480364,54,500.0,227.0
Ассуан,Блузка женская,169480363,54,500.0,227.0
NEWSKY,Летняя нарядная блузка для офиса,34637541,86,1681.0,228.0
JINDAIER,Блузка,13877740,84,1500.0,232.0
koket,Блузка классическая нарядная,147944317,76,1000.0,232.0
koket,Блузка классическая нарядная,147943723,76,1000.0,232.0
KOTON,Блузка,5607595,41,399.0,232.0
Ассуан,Блузка женская,169483199,53,500.0,232.0
koket,Блузка повседневная офисная,158423560,76,1000.0,232.0
Ассуан,Блузка женская,169480368,53,500.0,232.0
JRF,Летняя нарядная блузка для офиса,12568195,80,1208.0,234.0
JRF,Летняя нарядная блузка для офиса,78067063,80,1208.0,234.0
JRF,Летняя нарядная блузка для офиса,12568189,80,1208.0,234.0
LOONA,Блузка летняя хлопковая,171623525,91,2700.0,235.0
KOTON,Блузка,10660172,81,1299.0,239.0
KOTON,Блузка,9983182,64,669.0,240.0
NEWSKY,Летняя нарядная блузка для офиса,41004629,87,1923.0,242.0
koket,Блузка повседневная легкая,149361954,75,1000.0,242.0
koket,Блузка повседневная офисная,158423563,75,1000.0,242.0
koket,Блузка повседневная легкая,149357285,75,1000.0,242.0
miss.mod,Рубашка с длинным рукавом,162208636,75,1000.0,242.0
Buona Sceltta,Летняя нарядная блузка для офиса,54230627,81,1318.0,242.0
Buona Sceltta,Летняя нарядная блузка для офиса,54230633,81,1318.0,242.0
QIANZHIDU,Рубашка с принтом,170094773,82,1399.0,244.0
INCITY,Блузка,2010436,79,1199.0,244.0
KOTON,Блузка,9983145,70,839.0,244.0
DELFIN JEANPLAY,Рубашка с коротким рукавом,11507917,6,260.0,244.0
LOONA,Трикотажная блузка с коротким рукавом,162407967,91,2800.0,244.0
QIANZHIDU,Рубашка,160023938,83,1500.0,247.0
QIANZHIDU,Рубашка,160036617,83,1500.0,247.0
